step,confidence
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,0.95
9,0.8999999999999999
10,0.8499999999999999
11,0.8699999999999999
12,0.8899999999999999
13,0.9099999999999999
14,0.8599999999999999
15,0.8799999999999999
16,0.8999999999999999
17,0.9199999999999999
18,0.94
19,0.96
20,0.9099999999999999
21,0.9299999999999999
22,0.95
23,0.8999999999999999
24,0.8499999999999999
25,0.7999999999999998
26,0.7499999999999998
27,0.6999999999999997
28,0.6499999999999997
29,0.5999999999999996
30,0.5499999999999996
31,0.4999999999999996
32,0.5199999999999996
33,0.5399999999999996
34,0.4899999999999996
35,0.4399999999999996
36,0.3899999999999996
37,0.33999999999999964
38,0.28999999999999965
39,0.23999999999999966
40,0.18999999999999967
41,0.13999999999999968
42,0.08999999999999968
43,0.039999999999999675
44,0.0
45,0.02
46,0.04
47,0.06
48,0.08
49,0.1
50,0.12000000000000001
51,0.14
52,0.16
53,0.18
