step,odom_x,odom_y,map_x,map_y,dist_to_goal_map,dist_to_goal_odom,confidence,is_lost
1,0.0,0.0,-0.32499999999999996,-0.275,1.0965856099730655,0.6717514421272203,1.0,0
2,6.341507610419157e-05,-1.1046493687124642e-05,-0.32499999999999996,-0.275,1.0965856099730655,0.6717144140110445,1.0,0
3,6.341507609980875e-05,-1.1046493685537912e-05,-0.32499999999999996,-0.275,1.0965856099730655,0.6717144140110465,1.0,0
4,6.341507609980875e-05,-1.1046493685537912e-05,0.275,-0.32499999999999996,0.8246211251235321,0.6717144140110465,1.0,0
5,6.34150761033969e-05,-1.1046493688513134e-05,0.275,-0.32499999999999996,0.8246211251235321,0.671714414011046,1.0,0
6,2.1649578742159924e-05,3.793452437204375e-05,0.275,-0.32499999999999996,0.8246211251235321,0.6717093099025605,1.0,0
7,5.438988768613646e-05,-1.7487213869669476e-05,0.275,-0.32499999999999996,0.8246211251235321,0.6717253499190998,1.0,0
8,5.438988768613646e-05,-1.7487213869669476e-05,0.275,-0.32499999999999996,0.8246211251235321,0.6717253499190998,0.95,0
9,5.438988768701065e-05,-1.748721387424797e-05,0.275,-0.32499999999999996,0.8246211251235321,0.6717253499191024,0.97,0
10,5.438988768701065e-05,-1.748721387424797e-05,0.275,-0.32499999999999996,0.8246211251235321,0.6717253499191024,0.99,0
11,6.456206976578612e-05,4.6073966195322254e-05,0.275,-0.32499999999999996,0.8246211251235321,0.6716732107631719,1.0,0
12,4.363309858439644e-05,-1.4798647226220348e-05,0.275,-0.275,0.7762087348130013,0.671731054361831,1.0,0
13,4.363309858213704e-05,-1.479864723029735e-05,0.275,-0.275,0.7762087348130013,0.6717310543618354,0.95,0
14,8.403388705108578e-05,3.5313957882262406e-05,0.275,-0.275,0.7762087348130013,0.6716670513402331,0.97,0
15,3.563264965488023e-05,-7.1220777242379045e-06,0.275,-0.275,0.7762087348130013,0.6717312827887918,0.99,0
16,0.0043517800030287695,0.004415246004456962,0.275,-0.275,0.7762087348130013,0.6655522200994926,1.0,0
17,0.008311491214420687,0.009159416590852842,0.275,-0.275,0.7762087348130013,0.6593979173332916,1.0,0
18,0.008311491214420687,0.009159416590852842,0.275,-0.275,0.7762087348130013,0.6593979173332916,1.0,0
19,0.012712755711815588,0.013497081660260608,0.275,-0.275,0.7762087348130013,0.6532185238246538,1.0,0
20,0.016679505451641857,0.01806619920197683,0.275,-0.22499999999999998,0.7280109889280519,0.6471832615533094,1.0,0
21,0.020356073885931872,0.023033020315966272,0.275,-0.22499999999999998,0.7280109889280519,0.6410735139413593,1.0,0
22,0.020402682008430637,0.023077418286834545,0.275,-0.22499999999999998,0.7280109889280519,0.6410091585831055,1.0,0
23,0.02450060238645135,0.027616372802780606,0.275,-0.22499999999999998,0.7280109889280519,0.6349029982086326,1.0,0
24,0.028272988111925506,0.032510815913971654,0.275,-0.22499999999999998,0.7280109889280519,0.6287779426662222,1.0,0
25,0.031653922188193996,0.037683412186861664,0.275,-0.22499999999999998,0.7280109889280519,0.6227371377135287,1.0,0
26,0.031653922188193996,0.037683412186861664,0.275,-0.22499999999999998,0.7280109889280519,0.6227371377135287,1.0,0
27,0.03552070072053853,0.04250362911271118,0.275,-0.22499999999999998,0.7280109889280519,0.6165996799592438,1.0,0
28,0.038952964442551655,0.047564718448519644,0.275,-0.22499999999999998,0.7280109889280519,0.6106045669117061,1.0,0
29,0.038952964442551655,0.047564718448519644,0.275,-0.22499999999999998,0.7280109889280519,0.6106045669117061,1.0,0
30,0.04290114012461347,0.05231849339207395,0.275,-0.22499999999999998,0.7280109889280519,0.6044576748904387,1.0,0
31,0.04646825647300373,0.05736449660129171,0.275,-0.22499999999999998,0.7280109889280519,0.5983802043094173,1.0,0
32,0.04646825647300373,0.05736449660129171,0.275,-0.22499999999999998,0.7280109889280519,0.5983802043094173,1.0,0
33,0.0505080584165619,0.06204065610319204,0.275,-0.22499999999999998,0.7280109889280519,0.5922236302115605,1.0,0
34,0.054172551326636925,0.06701639314833409,0.275,-0.22499999999999998,0.7280109889280519,0.5861282837541855,1.0,0
35,0.0541260511867177,0.06697188209479037,0.275,-0.22499999999999998,0.7280109889280519,0.5861926524539123,1.0,0
36,0.05890839566569289,0.07088540336276147,0.275,-0.22499999999999998,0.7280109889280519,0.5800351975637131,1.0,0
37,0.06398019117691278,0.07441575146496879,0.275,-0.22499999999999998,0.7280109889280519,0.5739381703801751,1.0,0
38,0.06931080974520124,0.07754160704541511,0.275,-0.22499999999999998,0.7280109889280519,0.5679409240578069,1.0,0
39,0.07480366003599634,0.0802292928911556,0.275,-0.22499999999999998,0.7280109889280519,0.5621396816733377,1.0,0
40,0.08054846976126658,0.08250605125578,0.275,-0.22499999999999998,0.7280109889280519,0.5564562062808797,1.0,0
41,0.08645272721557884,0.08432984163397236,0.275,-0.22499999999999998,0.7280109889280519,0.5509919743752613,1.0,0
42,0.0924807772842213,0.0856896503706441,0.275,-0.22499999999999998,0.7280109889280519,0.5457870501171816,1.0,0
43,0.09853036332306898,0.08658271715485498,0.275,-0.22499999999999998,0.7280109889280519,0.540922705155243,1.0,0
44,0.10469524857901248,0.0870077550490446,0.275,-0.22499999999999998,0.7280109889280519,0.5363427925003204,1.0,0
45,0.1108745241837158,0.0869527965964861,0.275,-0.22499999999999998,0.7280109889280519,0.5321353156930327,1.0,0
46,0.11703087422027825,0.08641817368479361,0.275,-0.22499999999999998,0.7280109889280519,0.52833486611614,1.0,0
