step,confidence
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,0.95
9,0.8999999999999999
10,0.8499999999999999
11,0.8699999999999999
12,0.8199999999999998
13,0.8399999999999999
14,0.8599999999999999
15,0.8799999999999999
16,0.8999999999999999
17,0.9199999999999999
18,0.8699999999999999
19,0.8899999999999999
20,0.9099999999999999
21,0.8599999999999999
22,0.8799999999999999
23,0.8299999999999998
24,0.8499999999999999
25,0.7999999999999998
26,0.8199999999999998
27,0.8399999999999999
28,0.8599999999999999
29,0.8099999999999998
30,0.7599999999999998
31,0.7099999999999997
32,0.6599999999999997
33,0.6799999999999997
34,0.6999999999999997
35,0.6499999999999997
36,0.5999999999999996
37,0.5499999999999996
38,0.5699999999999996
39,0.5199999999999996
40,0.5399999999999996
41,0.5599999999999996
42,0.5099999999999996
43,0.5299999999999996
44,0.5499999999999996
45,0.5699999999999996
46,0.5199999999999996
47,0.5399999999999996
48,0.5599999999999996
49,0.5799999999999996
50,0.5999999999999996
51,0.6199999999999997
52,0.6399999999999997
53,0.6599999999999997
54,0.6799999999999997
55,0.6999999999999997
56,0.6499999999999997
57,0.6699999999999997
58,0.6899999999999997
59,0.6399999999999997
60,0.6599999999999997
61,0.6799999999999997
62,0.6299999999999997
63,0.6499999999999997
64,0.6699999999999997
65,0.6899999999999997
66,0.7099999999999997
67,0.7299999999999998
68,0.7499999999999998
69,0.7699999999999998
70,0.7899999999999998
71,0.8099999999999998
72,0.8299999999999998
